国家,国庆日,官方语言,人口数量,国土面积,主要宗教,GDP,人类发展指数,所属洲
美国,1776年7月4日,英语,3.1886亿人(2014年),937万平方公里,基督新教、天主教、摩门教、犹太教,174190亿美元(2014年),0.914,北美洲
澳大利亚,1788年1月26日,英语,0.2349亿人(2014年),761.793万平方公里,基督新教、天主教,14537.7021亿美元(2014年),0.933,大洋洲
中国,2019年10月01日 星期二,汉语（通用普通话）,139008万人(2017年),"963.4057万平方公里,领海约470万平方公里",道教、佛教、基督新教、天主教、伊斯兰教,900309.0亿元(2018年),,亚洲
英国,6月11日,英语,0.6451亿人(2014年),24.41万平方公里（包括内陆水域）,英国国教、天主教,29418.8554亿美元(2014年),0.922,欧洲
新加坡,1965年8月9日,英语、马来语、华语、泰米尔语,0.0547亿人(2014年),719.1平方公里（2015年）,佛教、道教、伊斯兰教、基督教、印度教,3078.7191亿美元(2014年),0.925,亚洲
法国,1789年7月14日,法语,0.662亿人(2014年),67.2834万平方公里（本土面积553965平方公里）,天主教,28291.9204亿美元(2014年),0.884,欧洲
韩国,1948年8月15日,韩语,0.5042亿人(2014年),约10万平方公里,佛教、基督新教、天主教,14103.8294亿美元(2014年),0.901,亚洲
德国,1990年10月3日,德语,0.8089亿人(2014年),35.7376万平方公里,基督新教、天主教,38525.5617亿美元(2014年),0.931,欧洲
加拿大,1867年7月1日,英语、法语,0.3554亿人(2014年),998.467万平方公里,基督新教、天主教,17866.5506亿美元(2014年),0.911,北美洲
俄罗斯,1990年6月12日,俄语,1.4382亿人(2014年),1709.82万平方公里（2015年）,东正教,18605.9792亿美元(2014年),0.805(很高)(2014年预计),欧洲
日本,12月23日,日语,1.2713亿人(2014年),377972.28平方公里（略小于中国云南省面积）,神道教、佛教,46014.6121亿美元(2014年),0.903,亚洲
马来西亚,1957年8月31日,马来语,0.3019亿人(2014年),33.0257万平方公里,伊斯兰教、佛教、印度教、基督教,3269.3304亿美元(2014年),,亚洲
以色列,5月14日,希伯来语,0.0822亿人(2014年),2.574万平方公里（实际管辖面积）,犹太教、伊斯兰教、基督教,3042.2634亿美元(2014年),0.900,亚洲
荷兰,4月27日,荷兰语,0.1685亿人(2014年),4.1864万平方公里,天主教、基督新教,8695.0813亿美元(2014年),,欧洲
西班牙,10月12日,西班牙语（卡斯蒂利亚语）,0.464亿人(2014年),50.5925万平方公里,天主教,14043.0654亿美元(2014年),0.879,欧洲
瑞士,1291年8月1日,德语、法语、意大利语、罗曼什语,0.0819亿人(2014年),4.1284万平方公里,天主教、加尔文宗,6854.3421亿美元(2013年),0.917,欧洲
新西兰,1840年2月6日,英语、毛利语,0.0451亿人(2014年),26.868万平方公里,基督新教、天主教,1883.8486亿美元(2013年),0.919,大洋洲
瑞典,1523年6月6日,瑞典语,0.0969亿人(2014年),44.9964万平方公里,基督教路德宗,5705.9127亿美元(2014年),0.898,欧洲
阿曼,1970年11月18日,阿拉伯语,0.0393亿人(2014年),30.9501万平方公里,伊斯兰教,817.9662亿美元(2014年),,亚洲
爱尔兰,3月17日,爱尔兰语、英语,0.0461亿人(2014年),7.0273万平方公里,天主教,2459.2071亿美元(2014年),0.899,欧洲
巴西,1822年9月7日,葡萄牙语,2.0203亿人(2014年),854.74万平方公里,天主教,23461.1818亿美元(2014年),0.738,南美洲
芬兰,1917年12月6日,芬兰语、瑞典语,0.0546亿人(2014年),33.8145万平方公里,基督教路德宗,2706.7358亿美元(2014年),,欧洲
印度,1947年8月15日,印地语、英语,12.674亿人(2014年),298万平方公里,印度教、伊斯兰教、锡克教,20669.024亿美元(2014年),0.586,亚洲
丹麦,4月16日,丹麦语,0.0564亿人(2014年),4.2959万平方公里,基督教路德宗,3419.5161亿美元(2014年),0.901,欧洲
波兰,5月3日,波兰语,0.38亿人(2014年),31.2685万平方公里,天主教,5480.0336亿美元(2014年),0.834（极高）（2013年）,欧洲
泰国,1927年12月5日,泰语,0.6722亿人(2014年),51.312万平方公里,上座部佛教,3738.0413亿美元(2014年),0.722,亚洲
意大利,1946年6月2日,意大利语,0.6134亿人(2014年),30.1338万平方公里,天主教,21443.3819亿美元(2014年),,欧洲
比利时,1831年7月21日,荷兰语、法语、德语,0.1123亿人(2014年),3.0528万平方公里,天主教,5333.8279亿美元(2014年),0.897,欧洲
捷克,10月28日,捷克语,0.1051亿人(2014年),7.8866万平方公里,天主教、基督新教,2055.2287亿美元(2014年),0.861,欧洲
土耳其,1923年10月29日,土耳其语,0.7584亿人(2014年),78.3562万平方公里,伊斯兰教-逊尼派,7995.3496亿美元(2014年),0.759,亚洲
格鲁吉亚,1918年5月26日,格鲁吉亚语,0.045亿人(2014年),6.97万平方公里,东正教,165.2996亿美元(2014年),0.733,亚洲
爱沙尼亚,1918年2月24日,爱沙尼亚语,0.0131亿人(2014年),4.5339万平方公里,基督教路德宗,259.0487亿美元(2014年),0.840，世界第33(极高),欧洲
